student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
8949,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,null,null,1,36,1
29725,city_40,0.776,Male,No relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0
11561,city_21,0.624,null,No relevant experience,Full time course,Graduate,STEM,5,null,null,never,83,0
33241,city_115,0.789,null,No relevant experience,null,Graduate,Business Degree,<1,null,Pvt Ltd,never,52,1
666,city_162,0.767,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0
21651,city_176,0.764,null,Has relevant experience,Part time course,Graduate,STEM,11,null,null,1,24,1
28806,city_160,0.92,Male,Has relevant experience,no_enrollment,High School,null,5,50-99,Funded Startup,1,24,0
402,city_46,0.762,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1
27107,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1
699,city_103,0.92,null,Has relevant experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0
29452,city_21,0.624,null,No relevant experience,Full time course,High School,null,2,null,null,never,32,1
23853,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0
25619,city_61,0.913,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
5826,city_21,0.624,Male,No relevant experience,null,null,null,2,null,null,never,24,0
8722,city_21,0.624,null,No relevant experience,Full time course,High School,null,5,null,null,never,26,0
6588,city_114,0.926,Male,Has relevant experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,>4,18,0
4167,city_103,0.92,null,Has relevant experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0
5764,city_21,0.624,null,Has relevant experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0
2156,city_21,0.624,null,Has relevant experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1
11399,city_13,0.827,Female,Has relevant experience,no_enrollment,Graduate,Arts,4,null,null,1,132,1
31972,city_159,0.843,Male,Has relevant experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,1,68,0
19061,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,11,100-499,Pvt Ltd,2,50,0
6491,city_102,0.804,null,Has relevant experience,no_enrollment,Masters,STEM,10,null,null,1,48,0
7041,city_40,0.776,Male,Has relevant experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0
22767,city_21,0.624,null,Has relevant experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0
14505,city_67,0.855,null,No relevant experience,no_enrollment,High School,null,4,null,null,never,22,0
17139,city_21,0.624,null,Has relevant experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1
28476,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Arts,5,null,null,2,72,0
21538,city_100,0.887,Male,Has relevant experience,no_enrollment,High School,null,11,<10,Pvt Ltd,1,8,1
10408,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1
