start_formatted,text,pinyin,english
00:01:02:500,你看我畫的,nǐ kàn wǒ huà de,Look at what I drew
00:01:04:233,我畫的Spiderman,wǒ huà de Spiderman,Spiderman I drew
00:01:08:000,好了啦,hǎo le la,Okay
00:01:08:665,去刷牙先吶,qù shuā yá xiān nà,Go brush your teeth first
00:01:10:599,等下才拍，快點去刷牙,děng xià cái pāi ， kuài diǎn qù shuā yá,I won’t take the picture until later. Hurry up and brush your teeth.
00:01:13:332,先要,xiān yào,Want first
00:01:14:000,準備了,zhǔn bèi le,ready
00:01:16:066,不然遲到了,bù rán chí dào le,Otherwise you will be late
00:01:16:766,給,gěi,give
00:01:17:332,我看,wǒ kàn,I see
00:01:19:400,哈,hā,ha
00:01:20:599,嘍，大家好,lóu ， dà jiā hǎo,Hello everyone
00:01:21:365,歡迎來到Z頻道的大馬番薯日記,huān yíng lái dào Z pín dào de dà mǎ fān shǔ rì jì,Welcome to Channel Z’s Malaysian Sweet Potato Diary
00:01:22:599,我 是傑克,wǒ   shì jié kè,I'm Jack
00:01:25:266,今天呢,jīn tiān ne,What about today?
00:01:26:665,是6月4號,shì 6 yuè 4 hào,It's June 4th
00:01:28:599,也就是小學的,yě jiù shì xiǎo xué de,"That is, elementary school"
00:01:29:700,學校,xué xiào,SCHOOL
00:01:31:665,假期,jià qī,holiday
00:01:32:900,前去,qián qù,Go
00:01:34:000,參加,cān jiā,join
00:01:35:299,了 第四天,le   dì sì tiān,It's the fourth day
00:01:38:033,期這兩個月,qī zhè liǎng gè yuè,These two months
00:01:39:033,她一直,tā yì zhí,she has been
00:01:39:865,在,zài,exist
00:01:42:665,那邊講我,nà biān jiǎng wǒ,Talk to me over there
00:01:44:233,要,yào,want
00:01:45:365,拍去雲頂的影片,pāi qù yún dǐng de yǐng piàn,Filming a trip to Genting
00:01:46:900,然後,rán hòu,then
00:01:49:066,過後要拍長長的,guò hòu yào pāi zhǎng zhǎng de,I’m going to take a long photo later
00:01:53:733,那麼我就來,nà me wǒ jiù lái,Then I'll come
00:01:55:165,滿足一下她的慾望吧,mǎn zú yī xià tā de yù wàng ba,Satisfy her desires
00:01:58:233,好,hǎo,good
00:01:58:632,去穿鞋了,qù chuān xié le,Went to put on shoes
00:01:59:733,嗯,ń,Um
