start_formatted,length,text,pinyin,english
00:06:07:500,21,嗎？這個是叫family suites嗎？,ma ？ zhè gè shì jiào family suites ma ？,? Is this called family suites?
00:03:59:932,20,那其實我們這次呢是family trip,nà qí shí wǒ men zhè cì ne shì family trip,So actually our trip this time is a family trip
00:09:54:932,20,不用online reservation,bù yòng online reservation,No online reservation required
00:06:05:699,18,這個是family suites好像,zhè gè shì family suites hǎo xiàng,This seems to be family suites
00:03:41:165,18,然後現在我妹妹還在做checking,rán hòu xiàn zài wǒ mèi mèi hái zài zuò checking,And now my sister is still doing checking
00:06:59:266,17,這個Skyworld Hotel的,zhè gè Skyworld Hotel de,This Skyworld Hotel
00:03:24:133,16,誒你不要看浪費我的Memory咧,éi nǐ bú yào kàn làng fèi wǒ de Memory liě,"Hey, don’t waste my memory by looking at it."
00:06:29:399,16,誒，那個，他沒有放垃圾袋的做麼？,éi ， nà gè ， tā méi yǒu fàng lā jī dài de zuò me ？,"Hey, um, didn't he put a garbage bag in it?"
00:15:37:966,15,我們今天就以這樣的方式來結尾啦,wǒ men jīn tiān jiù yǐ zhè yàng de fāng shì lái jié wěi la,This is how we end today
00:11:44:066,15,噢它是類似3D的那種電影的感覺,ō tā shì lèi shì 3D de nà zhǒng diàn yǐng de gǎn jué,"Oh, it feels like a 3D movie"
00:07:06:699,14,有類似Zootopia的感覺,yǒu lèi shì Zootopia de gǎn jué,It feels like Zootopia
00:11:22:166,14,還有她的兩個兒子跟我的小番薯,hái yǒu tā de liǎng gè ér zi gēn wǒ de xiǎo fān shǔ,And her two sons and my little sweet potato
00:01:21:365,14,歡迎來到Z頻道的大馬番薯日記,huān yíng lái dào Z pín dào de dà mǎ fān shǔ rì jì,Welcome to Channel Z’s Malaysian Sweet Potato Diary
00:10:06:166,14,等一下我們玩的就是這個設施啦,děng yí xià wǒ men wán de jiù shì zhè gè shè shī la,"Wait a minute, this is the facility we are going to play in."
00:16:02:500,14,小番薯，你講我們下一部電影見,xiǎo fān shǔ ， nǐ jiǎng wǒ men xià yī bù diàn yǐng jiàn,"Xiaofanshu, tell me we’ll see you in the next movie"
00:10:58:832,14,這邊是有那個QR code的,zhè biān shì yǒu nà gè QR code de,There is that QR code here
00:03:34:300,13,我們到雲頂（我們到雲頂了）,wǒ men dào yún dǐng （ wǒ men dào yún dǐng le ）,We arrived at Genting (We arrived at Genting)
00:03:45:366,13,So...應該有排等了的啦,So... yīng gāi yǒu pái děng le de la,So...there should be a queue.
00:10:40:765,13,OK我們現在就要開始這個了,OK wǒ men xiàn zài jiù yào kāi shǐ zhè gè le,OK we're going to start this now
00:15:48:466,13,所以你看我們的頭有點濕濕的,suǒ yǐ nǐ kàn wǒ men de tóu yǒu diǎn shī shī de,So you see our heads are a little wet
00:10:32:033,13,等下這個表哥表妹就要上去了,děng xià zhè gè biǎo gē biǎo mèi jiù yào shàng qù le,"Wait a minute, this cousin is going to go up."
00:04:22:533,12,Let's go(Ok),Let's go(Ok),Let's go(Ok)
00:03:53:532,12,OK OK來我們去找他們,OK OK lái wǒ men qù zhǎo tā men,"OK OK, come on, let's go find them."
00:01:04:233,12,我畫的Spiderman,wǒ huà de Spiderman,Spiderman I drew
00:06:17:500,12,我覺得他們三個可以睡上面,wǒ jué dé tā men sān gè kě yǐ shuì shàng miàn,I think the three of them can sleep up there
00:00:42:466,12,很光 那快點 去準備先啦,hěn guāng   nà kuài diǎn   qù zhǔn bèi xiān la,"It's very light. Come on, go get ready."
00:10:09:000,12,在上面應該是不可以拍照的,zài shàng miàn yīng gāi shì bù kě yǐ pāi zhào de,You shouldn't be allowed to take pictures up there.
00:07:56:932,12,想到要跟這些小瓜一整天哦,xiǎng dào yào gēn zhè xiē xiǎo guā yī zhěng tiān ó,I thought about spending the whole day with these little melons.
00:05:36:500,11,怪不得一直找都找不到啦,guài bù dé yì zhí zhǎo dōu zhǎo bú dào la,No wonder I can’t find it even though I’ve been looking for it.
00:13:52:066,11,爸爸，沒有摩托車坐咧～,bà bà ， méi yǒu mó tuō chē zuò liě ～,"Dad, there is no motorcycle to ride on~"
