start_formatted,text,pinyin,english
00:01:43:099,是的,shì de,Yes
00:01:43:766,剛從R&F的project briefing回來,gāng cóng R&F de project briefing huí lái,Just came back from R&F's project briefing
00:01:47:632,然後也去拍了一支二手房的影片,rán hòu yě qù pāi le yī zhī èr shǒu fáng de yǐng piàn,Then I also went to shoot a video about second-hand houses.
00:01:51:766,現在呢就有時間坐下來,xiàn zài ne jiù yǒu shí jiān zuò xià lái,Now I have time to sit down
00:01:54:066,跟你們去講解一下,gēn nǐ men qù jiǎng jiě yī xià,Let me explain it to you
00:01:55:533,我到底在這幾個月裡面發生什麼事情,wǒ dào dǐ zài zhè jǐ gè yuè lǐ miàn fā shēng shén me shì qíng,What happened to me in the past few months?
00:01:58:165,其實這支影片哦,qí shí zhè zhī yǐng piàn ó,Actually this video
00:01:59:799,就好像一開頭你們所看到的啦,jiù hǎo xiàng yī kāi tóu nǐ men suǒ kàn dào de la,Just like what you saw at the beginning
00:02:01:533,我是要跟你們講,wǒ shì yào gēn nǐ men jiǎng,I want to tell you
00:02:03:132,噢我回到馬來西亞兩三年過後,ō wǒ huí dào mǎ lái xī yà liǎng sān nián guò hòu,"Oh, two or three years after I returned to Malaysia"
00:02:06:599,Since Covid終於,Since Covid zhōng yú,Since Covid finally
00:02:08:032,可以重新返回職場,kě yǐ chóng xīn fǎn huí zhí chǎng,Can return to work
00:02:09:966,而且這次是重新的嘗試,ér qiě zhè cì shì chóng xīn de cháng shì,And this time it’s a new try
00:02:11:765,在馬來西亞工作的一個內容啦,zài mǎ lái xī yà gōng zuò de yī gè nèi róng la,An aspect of working in Malaysia
00:02:14:599,但是我萬萬沒有想到,dàn shì wǒ wàn wàn méi yǒu xiǎng dào,But I never expected
00:02:15:765,結果會變成這樣子,jié guǒ huì biàn chéng zhè yàng zi,The result will be like this
00:02:17:133,就是在短短的三四個月吧,jiù shì zài duǎn duǎn de sān sì gè yuè ba,Just in just three or four months
00:02:20:165,對，從10月16號,duì ， cóng 10 yuè 16 hào,"Yes, from October 16th"
00:02:21:633,然後一直到現在,rán hòu yì zhí dào xiàn zài,and then until now
00:02:22:665,那我現在的工作哦,nà wǒ xiàn zài de gōng zuò ó,Then what is my current job?
00:02:24:665,會比較專注在Property Agent這塊,huì bǐ jiào zhuān zhù zài Property Agent zhè kuài,Will focus more on Property Agent
00:02:27:866,2024年，我的最主要的目標就是,2024 nián ， wǒ de zuì zhǔ yào de mù biāo jiù shì,"In 2024, my main goal is"
00:02:31:032,專注在我的Property Career,zhuān zhù zài wǒ de Property Career,Focus on my Property Career
00:02:33:265,試試看,shì shì kàn,try it
00:02:33:932,這個...可能,zhè gè ... kě néng,This...possibly
00:02:35:532,以後再跟你們分享,yǐ hòu zài gēn nǐ men fēn xiǎng,I will share it with you later
00:02:36:599,今天這支影片,jīn tiān zhè zhī yǐng piàn,Today's video
00:02:37:332,我是要跟你們分享,wǒ shì yào gēn nǐ men fēn xiǎng,I want to share it with you
00:02:38:432,這整個過程到底發生了什麼事情啦,zhè zhěng gè guò chéng dào dǐ fā shēng le shén me shì qíng la,What happened in this whole process?
00:02:41:233,就在這幾個月裡面,jiù zài zhè jǐ gè yuè lǐ miàn,Just in these few months
00:02:42:500,我就經歷了,wǒ jiù jīng lì le,I've experienced it
00:02:43:800,跟以往一樣咯,gēn yǐ wǎng yī yàng gē,Same as always
00:02:44:932,就職了過後,jiù zhí le guò hòu,After taking office
00:02:45:966,然後就發現一些東西,rán hòu jiù fā xiàn yī xiē dōng xī,Then I discovered something
00:02:48:165,然後又離職的這整個過程,rán hòu yòu lí zhí de zhè zhěng gè guò chéng,And then the whole process of resigning
00:02:50:633,但只是不一樣的點咧,dàn zhǐ shì bù yī yàng de diǎn liě,But it’s just different
00:02:52:066,就是這一次是在馬來西亞,jiù shì zhè yī cì shì zài mǎ lái xī yà,This time it’s in Malaysia
00:02:54:199,所以這個就是我想跟你們分享的東西啦,suǒ yǐ zhè gè jiù shì wǒ xiǎng gēn nǐ men fēn xiǎng de dōng xī la,So this is what I want to share with you
00:02:56:366,首先呢我要講的東西是,shǒu xiān ne wǒ yào jiǎng de dōng xī shì,"First of all, what I want to talk about is"
00:02:58:566,我竟然能夠在影片面前哦,wǒ jìng rán néng gòu zài yǐng piàn miàn qián ó,I can actually be in front of the video
00:03:01:800,跟你們去分享,gēn nǐ men qù fēn xiǎng,Share with you
00:03:02:699,就證明,jiù zhèng míng,Just prove it
00:03:03:466,我已經完成了這整個自我了解的process,wǒ yǐ jīng wán chéng le zhè zhěng gè zì wǒ liǎo jiě de process,I've gone through this whole process of self-understanding
00:03:07:265,因為其實很多事情哦,yīn wèi qí shí hěn duō shì qíng ó,Because actually there are many things
00:03:08:633,在你經歷的時候啦,zài nǐ jīng lì de shí hòu la,When you go through it
00:03:09:866,你要去自我消化,nǐ yào qù zì wǒ xiāo huà,You have to digest yourself
00:03:11:532,探索,tàn suǒ,explore
00:03:12:566,然後去理解在這整個過程裡面,rán hòu qù lǐ jiě zài zhè zhěng gè guò chéng lǐ miàn,Then understand the whole process
00:03:15:133,是什麼原因會造成這樣的事情發生,shì shén me yuán yīn huì zào chéng zhè yàng de shì qíng fā shēng,What causes this to happen?
00:03:17:966,再來就是間中所學到的東西到底是什麼,zài lái jiù shì jiān zhōng suǒ xué dào de dōng xī dào dǐ shì shén me,The next step is what exactly are the things I learned from time to time?
