start_formatted,text,pinyin,english
00:00:00:066,哈嘍，大家好,hā lóu ， dà jiā hǎo,Hello everyone
00:00:00:700,歡迎來到Z頻道的大馬番薯日記,huān yíng lái dào Z pín dào de dà mǎ fān shǔ rì jì,Welcome to Channel Z’s Malaysian Sweet Potato Diary
00:00:02:966,我是傑克,wǒ shì jié kè,I'm Jack
00:00:04:000,今天呢,jīn tiān ne,What about today?
00:00:04:666,我要跟大家分享,wǒ yào gēn dà jiā fēn xiǎng,I want to share with you
00:00:06:065,我剛剛突發奇想的一個Idea啦,wǒ gāng gāng tū fā qí xiǎng de yī gè Idea la,I just came up with an idea.
00:00:08:400,其實呢我從新加坡回到馬來西亞生活呢,qí shí ne wǒ cóng xīn jiā pō huí dào mǎ lái xī yà shēng huó ne,"Actually, I came back to live in Malaysia from Singapore."
00:00:10:766,要將近兩年了,yào jiāng jìn liǎng nián le,It will be nearly two years
00:00:12:099,所以呢我剛就突然間想到,suǒ yǐ ne wǒ gāng jiù tū rán jiān xiǎng dào,So I just suddenly thought
00:00:14:300,想跟大家分享一下,xiǎng gēn dà jiā fēn xiǎng yī xià,I want to share it with you
00:00:15:733,「住」馬來西亞,「 zhù 」 mǎ lái xī yà,"""Live"" in Malaysia"
00:00:16:966,跟「租」新加坡,gēn 「 zū 」 xīn jiā pō,"""Rent"" Singapore"
00:00:18:500,到底有什麼不同,dào dǐ yǒu shén me bù tóng,What's the difference?
00:00:19:666,我覺得影片出去了過後噢,wǒ jué dé yǐng piàn chū qù le guò hòu ō,"I think after the video is released,"
00:00:21:332,肯定會有人講,kěn dìng huì yǒu rén jiǎng,Someone will definitely talk about it
00:00:22:300,哎呀,āi yā,oops
00:00:22:865,如果你之前在新加坡買屋子,rú guǒ nǐ zhī qián zài xīn jiā pō mǎi wū zi,If you have bought a house in Singapore before
00:00:24:533,你就不會有這種煩惱了,nǐ jiù bù huì yǒu zhè zhǒng fán nǎo le,You won't have this kind of trouble anymore
00:00:25:865,所以呢我在這裡要做一個disclaimer,suǒ yǐ ne wǒ zài zhè lǐ yào zuò yī gè disclaimer,So I'm going to make a disclaimer here
00:00:28:332,就是這支影片哦,jiù shì zhè zhī yǐng piàn ó,This is the video
00:00:29:565,是applicable for,shì applicable for,is applicable for
00:00:31:000,在新加坡沒有買房子,zài xīn jiā pō méi yǒu mǎi fáng zi,Didn’t buy a house in Singapore
00:00:32:832,在新加坡租房子,zài xīn jiā pō zū fáng zi,Rent a house in Singapore
00:00:34:365,但是呢在馬來西亞擁有自己屋子的人,dàn shì ne zài mǎ lái xī yà yōng yǒu zì jǐ wū zi de rén,But what about people who own their own houses in Malaysia?
00:00:36:899,那其實就是我自己本身的狀況啦,nà qí shí jiù shì wǒ zì jǐ běn shēn de zhuàng kuàng la,That's actually my own situation.
00:00:39:033,這是為了避免一些酸民在那邊耍嘴炮,zhè shì wèi le bì miǎn yī xiē suān mín zài nà biān shuǎ zuǐ pào,This is to prevent some sarcastic people from talking nonsense over there.
00:00:42:299,好,hǎo,good
00:00:42:732,那麼現在呢就來跟你們分享一下,nà me xiàn zài ne jiù lái gēn nǐ men fēn xiǎng yī xià,So now let me share it with you
00:00:44:399,我覺得啦,wǒ jué dé la,I think
