start_formatted,mandarin_length,text,pinyin,english
00:06:13:233,19,如果你們是還沒有看我房屋糾紛的影片的話,rú guǒ nǐ men shì hái méi yǒu kàn wǒ fáng wū jiū fēn de yǐng piàn de huà,If you haven’t watched my video on housing disputes yet
00:05:28:399,19,上一次呢我就被一個沒有良心的屋主騙訂金,shàng yī cì ne wǒ jiù bèi yī gè méi yǒu liáng xīn de wū zhǔ piàn dìng jīn,"Last time, I was defrauded of a deposit by an unscrupulous landlord."
00:01:56:365,18,可是呢如果是住在馬來西亞自己的房子哦,kě shì ne rú guǒ shì zhù zài mǎ lái xī yà zì jǐ de fáng zi ó,But what if you live in your own house in Malaysia?
00:00:08:400,17,其實呢我從新加坡回到馬來西亞生活呢,qí shí ne wǒ cóng xīn jiā pō huí dào mǎ lái xī yà shēng huó ne,"Actually, I came back to live in Malaysia from Singapore."
00:07:31:365,17,我要講的是我最後一次租的那間房間啦,wǒ yào jiǎng de shì wǒ zuì hòu yī cì zū de nà jiān fáng jiān la,I'm going to talk about the last room I rented.
00:03:03:699,17,他們都是允許我們在房間裡面吃東西的,tā men dōu shì yǔn xǔ wǒ men zài fáng jiān lǐ miàn chī dōng xī de,They all allow us to eat in the room
00:01:26:400,17,自己的屋子就絕對不會有這樣子的問題,zì jǐ de wū zi jiù jué duì bù huì yǒu zhè yàng zi de wèn tí,Your own house will never have such a problem
00:01:36:799,16,也就是我搬離新加坡租的那間房子哦,yě jiù shì wǒ bān lí xīn jiā pō zū de nà jiān fáng zi ó,That's the house I rented when I moved out of Singapore.
00:00:39:033,16,這是為了避免一些酸民在那邊耍嘴炮,zhè shì wèi le bì miǎn yī xiē suān mín zài nà biān shuǎ zuǐ pào,This is to prevent some sarcastic people from talking nonsense over there.
00:07:49:399,16,我們也會開下午一兩個小時這樣子啦,wǒ men yě huì kāi xià wǔ yī liǎng gè xiǎo shí zhè yàng zi la,We will also open for an hour or two in the afternoon.
00:00:34:365,16,但是呢在馬來西亞擁有自己屋子的人,dàn shì ne zài mǎ lái xī yà yōng yǒu zì jǐ wū zi de rén,But what about people who own their own houses in Malaysia?
00:07:11:533,16,而且在新加坡的電費呢算是蠻昂貴的,ér qiě zài xīn jiā pō de diàn fèi ne suàn shì mán áng guì de,And the electricity bill in Singapore is quite expensive.
00:04:08:699,16,沒有在新加坡生活過的馬來西亞觀眾,méi yǒu zài xīn jiā pō shēng huó guò de mǎ lái xī yà guān zhòng,Malaysian viewers who have not lived in Singapore
00:04:36:800,16,所以呢這個不可以一竹竿打翻整船人,suǒ yǐ ne zhè gè bù kě yǐ yī zhú gān dǎ fān zhěng chuán rén,So you can't knock over the whole boat with one bamboo pole.
00:00:45:500,16,“住”馬來西亞跟“租”新加坡最大的不同哦,“ zhù ” mǎ lái xī yà gēn “ zū ” xīn jiā pō zuì dà de bù tóng ó,The biggest difference between “living” in Malaysia and “renting” in Singapore
00:08:37:100,16,只是我突發奇想，想要跟你們分享一下,zhǐ shì wǒ tū fā qí xiǎng ， xiǎng yào gēn nǐ men fēn xiǎng yī xià,It's just a random idea that I wanted to share with you.
00:08:53:799,16,我也沒有辦法一個一個的去回你們的PM,wǒ yě méi yǒu bàn fǎ yī gè yī gè de qù huí nǐ men de PM,I can’t reply to your PMs one by one.
00:05:51:365,16,“租”新加坡跟“住”馬來西亞最大的不同啦,“ zū ” xīn jiā pō gēn “ zhù ” mǎ lái xī yà zuì dà de bù tóng la,"The biggest difference between ""renting"" in Singapore and ""living"" in Malaysia"
00:07:18:833,16,冷氣呢只可以開8個小時到12個小時不等,lěng qì ne zhǐ kě yǐ kāi 8 gè xiǎo shí dào 12 gè xiǎo shí bù děng,The air conditioner can only be turned on for 8 to 12 hours.
00:09:36:033,16,希望在看影片的你們會喜歡這支影片,xī wàng zài kàn yǐng piàn de nǐ men huì xǐ huān zhè zhī yǐng piàn,I hope you guys who are watching the video will like this video
00:06:18:100,15,現在想回去真的是覺得很好笑吶吶,xiàn zài xiǎng huí qù zhēn de shì jué dé hěn hǎo xiào nà nà,It’s really funny that I want to go back now.
00:06:35:899,15,隻呢這支影片是依據我個人的經驗,zhī ne zhè zhī yǐng piàn shì yī jù wǒ gè rén de jīng yàn,But this video is based on my personal experience
00:04:26:699,15,一個禮拜裡面哦只可以洗兩次衣服,yī gè lǐ bài lǐ miàn ó zhǐ kě yǐ xǐ liǎng cì yī fú,You can only wash clothes twice a week.
00:04:17:333,15,如果是有在新加坡租過房間的人呢,rú guǒ shì yǒu zài xīn jiā pō zū guò fáng jiān de rén ne,What if you have rented a room in Singapore?
00:05:08:399,15,可能馬來西亞的水費沒有那麼貴吧,kě néng mǎ lái xī yà de shuǐ fèi méi yǒu nà me guì ba,Maybe the water bill in Malaysia is not that expensive?
00:01:19:965,15,如果是往自己的家里安全去想的話,rú guǒ shì wǎng zì jǐ de jiā lǐ ān quán qù xiǎng de huà,"If you are thinking about the safety of your own home,"
00:03:18:366,14,要不然就是在外面吃了才回房間,yào bù rán jiù shì zài wài miàn chī le cái huí fáng jiān,"Otherwise, I would eat outside before going back to the room."
00:01:22:533,14,這個屋主的做法呢是情有可原啦,zhè gè wū zhǔ de zuò fǎ ne shì qíng yǒu kě yuán la,What this homeowner did is excusable.
00:00:42:732,14,那麼現在呢就來跟你們分享一下,nà me xiàn zài ne jiù lái gēn nǐ men fēn xiǎng yī xià,So now let me share it with you
00:00:36:899,14,那其實就是我自己本身的狀況啦,nà qí shí jiù shì wǒ zì jǐ běn shēn de zhuàng kuàng la,That's actually my own situation.
